R;S;Gi;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
C;TORINO;RINCON Tomas;3;34;5.84;5.81;1;0;11;0;0;0;0;0
C;ATALANTA;RIZZO Luca;4;10;6;6.67;2;0;0;0;0;0;0;0
C;NAPOLI;ROG Marko;4;9;6;6.33;1;0;2;0;0;0;0;0
C;CROTONE;ROHDEN Marcus;3;23;5.74;6.04;2;0;2;0;0;0;0;0
C;CROTONE;ROMERO Aristoteles;1;1;6;5.5;0;0;2;0;0;0;0;0
C;FIORENTINA;SANCHEZ Carlos;3;7;5.79;6.21;1;0;2;0;0;0;0;0
C;BENEVENTO;SANDRO Raniere Cordeiro;5;14;6.43;6.53;1;0;4;0;0;0;0;0
C;FIORENTINA;SAPONARA Riccardo;3;15;5.83;6.03;0;4;2;0;0;0;0;0
C;SPAL;SCHIATTARELLA Pasquale;4;27;6.04;6.11;1;4;12;0;0;0;0;0
C;SPAL;SCHIAVON Eros;1;7;5.43;5.14;0;0;4;0;0;0;0;0
C;SASSUOLO;SENSI Stefano;4;16;6;6.41;2;0;2;0;0;0;0;0
C;ATALANTA;SPINAZZOLA Leonardo;4;17;6;6.08;0;2;1;0;0;0;0;0
C;CROTONE;STOIAN Adrian;3;29;5.76;5.98;2;2;5;0;0;0;0;0
C;ROMA;STROOTMAN Kevin;4;28;5.89;5.98;1;0;3;0;0;0;0;0
C;JUVENTUS;STURARO Stefano;4;10;5.8;5.77;0;0;1;0;0;0;0;0
C;BOLOGNA;TAIDER Saphir;3;7;5.79;5.93;0;1;0;0;0;0;0;0
C;SAMPDORIA;TORREIRA Lucas;4;35;6.24;6.61;4;1;6;0;0;0;0;0
C;ROMA;UNDER Cengiz;4;18;6.25;7.58;7;1;0;0;0;0;0;0
C;TORINO;VALDIFIORI Mirko;3;8;5.5;5.5;0;0;1;0;0;0;0;0
C;VERONA;VALOTI Mattia;2;24;5.69;5.94;3;0;9;0;0;0;0;0
C;INTER;VECINO Matias;3;28;5.82;6.16;3;2;7;1;0;0;0;0
C;GENOA;VELOSO Miguel;4;22;5.98;6.07;1;0;4;0;0;0;0;0
C;FIORENTINA;VERETOUT Jordan;4;35;6.07;6.64;7;1;9;1;0;0;1;0
C;SAMPDORIA;VERRE Valerio;4;8;5.62;5.6;0;0;2;0;0;0;0;0
C;BENEVENTO;VIOLA Nicolas;4;21;6.07;6.41;2;4;1;1;0;0;1;0
C;SPAL;VITALE Mattia;1;1;6;5.5;0;0;1;0;0;0;0;0
C;SPAL;VIVIANI Federico;3;29;5.9;6.12;3;2;9;0;0;0;1;0
C;VERONA;ZACCAGNI Mattia;2;3;5.5;5.5;0;0;1;0;0;0;0;0
C;NAPOLI;ZIELINSKI Piotor;4;35;6.1;6.66;5;1;3;0;0;0;0;0
C;VERONA;ZUCULINI Bruno;2;15;5.43;5.62;2;0;4;3;0;0;0;0
C;VERONA;ZUCULINI Franco;5;7;6.36;6.25;0;0;1;0;0;0;0;0
A;SPAL;ANTENUCCI Mirco;3;32;6.28;7.45;11;5;1;0;0;0;0;0
A;BENEVENTO;ARMENTEROS Samuel;1;8;5.38;5.69;1;0;1;0;0;0;0;0
A;BOLOGNA;AVENATTI Felipe;1;8;5.19;5.17;0;0;1;0;0;0;0;0
A;SASSUOLO;BABACAR Khouma;2;26;5.75;6.45;6;2;1;0;0;0;0;0
A;UDINESE;BAJIC Riad;1;2;6;6;0;0;0;0;0;0;0;0
A;ATALANTA;BARROW Musa;4;8;6.56;7.45;3;1;0;0;0;0;0;0
A;TORINO;BELOTTI Andrea;2;31;5.92;6.45;7;3;2;0;0;0;2;0
A;SASSUOLO;BERARDI Domenico;1;30;5.48;5.63;4;1;7;1;0;0;2;0
A;SPAL;BONAZZOLI Federico;1;6;5.58;5.58;0;0;0;0;0;0;0;0
A;MILAN;BORINI Fabio;1;22;5.77;6.07;2;1;4;0;0;0;0;0
A;SPAL;BORRIELLO Marco;1;12;5.58;5.67;1;0;5;0;0;0;0;0
A;TORINO;BOYE’ Lucas;1;6;5.33;5.33;0;0;0;0;0;0;0;0
A;BENEVENTO;BRIGNOLA Enrico;2;17;6.24;6.72;3;1;5;0;0;0;0;0
A;CROTONE;BUDIMIR Ante;1;21;5.86;6.5;6;0;8;0;0;0;0;0
A;LAZIO;CAICEDO Felipe;2;15;5.67;6.28;3;1;1;0;0;0;0;0
A;NAPOLI;CALLEJON Jose’ Maria Bueno;3;38;6.14;7.26;10;9;3;0;0;0;0;0
A;SAMPDORIA;CAPRARI Gianluca;1;30;5.73;6.06;4;1;4;1;0;0;0;0
A;GENOA;CENTURION Ricardo;1;2;5.5;5.5;0;0;0;0;0;0;0;0
A;BENEVENTO;CERAVOLO Fabio;1;1;5.5;5.5;0;0;0;0;0;0;0;0
A;VERONA;CERCI Alessio;2;22;5.89;6.37;3;1;1;0;0;0;0;0
A;CAGLIARI;CETER Damir;1;4;5.25;5.4;0;0;0;0;0;0;0;0
A;BENEVENTO;CODA Massimo;1;20;5.7;6.31;4;1;1;0;0;0;0;0
A;CAGLIARI;COP Duje;1;1;5;5;0;0;0;0;0;0;0;0
A;ATALANTA;CORNELIUS Andreas;2;19;5.97;6.45;3;1;0;0;0;0;0;0
A;MILAN;CUTRONE Patrik;3;22;6.23;7.54;10;2;3;0;0;0;0;0
A;ROMA;DEFREL Gregoire;1;11;5.5;5.75;1;0;1;0;0;0;0;0
A;BOLOGNA;DESTRO Mattia;2;25;5.84;6.58;6;2;3;0;0;0;0;0
A;BOLOGNA;DI FRANCESCO Federico;1;22;5.8;5.95;1;2;4;0;0;0;0;0
A;BENEVENTO;DIABATE’ Cheick;3;8;6;7.65;6;0;0;1;0;0;0;0
A;CROTONE;DIABY Moussa;1;1;5.5;5.75;0;0;0;0;0;0;0;0
A;JUVENTUS;DYBALA Paulo;3;32;6.44;8.7;22;4;0;0;0;0;2;0
A;ROMA;DZEKO Edin;2;35;6.27;7.5;15;2;5;0;0;0;0;0
A;INTER;EDER Citadin martins;1;18;5.97;6.47;3;0;4;0;0;0;0;0
A;TORINO;EDERA Simone;2;7;6.29;6.81;1;1;0;0;0;0;0;0
A;ROMA;EL SHAARAWY;2;32;5.92;6.77;7;4;1;0;0;0;0;0
A;FIORENTINA;FALCINELLI Diego;1;28;5.46;5.69;2;1;2;0;0;0;0;0
A;CAGLIARI;FARIAS Diego;1;26;5.67;5.74;1;3;4;0;0;0;1;0
A;SPAL;FLOCCARI Sergio;1;16;6.03;6.59;3;0;0;0;0;0;0;0
A;GENOA;GALABINOV Andrej;2;19;5.84;6.3;3;1;2;0;0;0;0;0
A;CAGLIARI;GIANNETTI Niccolo’;1;4;5.5;5.4;0;0;3;0;0;0;0;0
A;ATALANTA;GOMEZ Alejandro;3;31;6.18;6.97;6;9;1;0;0;0;1;0
A;CAGLIARI;HAN Kwang-song;1;5;5.6;5.67;0;0;0;0;0;0;0;0
A;JUVENTUS;HIGUAIN Gonzalo Gerardo;3;32;6.11;7.38;15;2;4;0;0;0;1;0
A;INTER;ICARDI Mauro Emanuel;3;33;6.48;8.94;29;1;2;0;0;0;1;0
A;BENEVENTO;IEMMELLO Pietro;2;13;5.62;6.14;2;1;0;0;0;0;0;0
A;LAZIO;IMMOBILE Ciro;3;32;6.69;9.38;29;8;3;1;0;0;1;0
A;CHIEVO;INGLESE Roberto;2;33;6;6.93;12;0;3;0;0;0;1;0
A;NAPOLI;INSIGNE Lorenzo;3;37;6.57;7.51;8;9;4;0;0;0;0;0
A;MILAN;KALINIC Nikola;2;28;5.73;6.41;6;3;3;0;0;0;0;0
A;INTER;KARAMOH Yann;1;11;6.23;6.5;1;0;0;0;0;0;0;0
A;VERONA;KEAN Moise;1;19;5.68;6.18;4;0;5;0;0;0;0;0
A;SAMPDORIA;KOWNACKI Dawid;2;19;5.84;6.57;5;1;0;0;0;0;0;0
A;GENOA;LAPADULA Gianluca;1;25;5.7;6.13;5;1;4;0;0;0;1;0
A;UDINESE;LASAGNA Kevin;3;28;6.23;7.43;12;1;1;0;0;0;0;0
A;VERONA;LEE Seung-woo;1;12;5.71;5.88;1;0;4;0;0;0;0;0
A;CHIEVO;LERIS Mehdi;1;1;5.5;5.75;0;0;0;0;0;0;0;0
A;FIORENTINA;LO FASO Simone;1;1;6;5.83;0;0;0;0;0;0;0;0
A;BENEVENTO;LOMBARDI Cristiano;1;17;5.82;5.86;0;2;3;0;0;0;0;0
A;UDINESE;LOPEZ Maxi;1;26;5.58;5.88;2;2;1;0;0;0;0;0
A;JUVENTUS;MANDZUKIC Mario;2;30;6.1;6.56;5;2;3;1;0;0;0;0
A;VERONA;MATOS;1;17;5.53;5.55;0;0;1;0;0;0;0;0
A;SASSUOLO;MATRI Alessandro;1;19;5.66;5.8;3;0;1;0;0;0;2;0
A;CHIEVO;MEGGIORINI Riccardo;1;14;5.43;5.4;0;0;2;0;0;0;0;0
A;NAPOLI;MERTENS Dries;3;38;6.16;7.84;18;6;4;0;0;0;1;0
A;NAPOLI;MILIK Arkadiusz;3;11;6.5;7.58;5;0;2;0;0;0;0;0
A;LAZIO;NANI Luis carlos;2;12;5.83;6.46;2;2;2;0;0;0;0;0
A;TORINO;NIANG M’Baye;2;24;5.69;6.12;4;1;5;0;0;0;0;0
A;BOLOGNA;OKONKWO Orji;3;6;6.08;7.67;3;0;2;0;0;0;0;0
A;BOLOGNA;ORSOLINI Riccardo;1;12;5.92;5.92;0;0;0;0;0;0;0;0
A;NAPOLI;OUNAS Adam;1;2;6;6;0;0;0;0;0;0;0;0
A;BOLOGNA;PALACIO Rodrigo;2;27;6.07;6.5;4;2;9;0;0;0;0;0
A;GENOA;PALLADINO Raffaele;1;4;6.12;6;0;0;1;0;0;0;0;0
A;LAZIO;PALOMBI Simone;1;1;5;5.5;0;0;0;0;0;0;0;0
A;SPAL;PALOSCHI Alberto;2;33;5.77;6.38;7;0;2;0;0;0;0;0
A;GENOA;PANDEV Goran;1;30;5.93;6.44;5;1;4;1;0;0;0;0
A;BENEVENTO;PARIGINI Vittorio;1;18;5.67;5.63;0;0;2;0;0;0;0;0
A;CAGLIARI;PAVOLETTI Leonardo;2;32;5.94;6.82;11;0;8;0;0;0;0;0
A;VERONA;PAZZINI Giampaolo;2;18;5.64;6.28;4;0;1;0;0;0;0;0
A;GENOA;PELLEGRI Pietro;2;4;5.75;7;2;0;2;0;0;0;0;0
A;CHIEVO;PELLISSIER Sergio;1;13;5.73;6;1;1;1;0;0;0;0;0
A;UDINESE;PERICA Stipe;1;18;5.64;5.75;1;1;5;0;0;0;0;0
A;ATALANTA;PETAGNA Andrea;2;27;5.98;6.41;4;3;5;0;0;0;0;0
A;VERONA;PETKOVIC Bruno;1;21;5.62;5.64;0;2;4;0;0;0;0;0
A;SASSUOLO;PIERINI Nicholas;1;2;5.75;5.83;0;0;0;0;0;0;0;0
A;SASSUOLO;POLITANO Matteo;2;35;6.23;7.12;10;4;1;0;0;0;2;0
A;CHIEVO;PUCCIARELLI Manuel;1;19;5.68;5.92;2;0;3;0;0;0;0;0
A;BENEVENTO;PUSCAS George;1;11;5.41;5.68;1;0;0;0;0;0;0;0
A;SAMPDORIA;QUAGLIARELLA Fabio;3;34;6.15;7.64;18;5;4;0;0;0;1;0
A;SASSUOLO;RAGUSA Antonino;1;19;5.68;5.62;0;1;6;0;0;0;0;0
A;CROTONE;RICCI Federico;1;17;5.76;5.92;1;1;4;0;0;0;0;0
A;GENOA;ROSSI Giuseppe;1;7;6.07;6.44;1;0;0;0;0;0;0;0
A;TORINO;SADIQ Umar;1;3;5.17;5.17;0;0;0;0;0;0;0;0
A;GENOA;SALCEDO Eddie;1;2;6.25;6.17;0;0;0;0;0;0;0;0
A;CAGLIARI;SAU Marco;1;26;5.67;5.78;2;0;1;0;0;0;1;0
A;ROMA;SCHICK Patrik;1;16;5.56;5.94;2;0;0;0;0;0;0;0
A;MILAN;SILVA Andre’;1;19;5.63;5.95;2;0;0;0;0;0;0;0
A;FIORENTINA;SIMEONE Giovanni;2;37;5.91;7;13;4;3;0;0;0;0;0
A;CROTONE;SIMY;3;16;6.22;7.47;7;1;1;0;0;0;0;0
A;CHIEVO;STEPINSKI Mariusz;2;15;5.93;6.84;5;0;1;0;0;0;0;0
A;MILAN;SUSO;3;34;6.21;6.96;6;7;1;1;0;0;0;0
A;GENOA;TAARABT Adel;1;22;6.02;6.28;2;2;4;1;0;0;0;0
A;FIORENTINA;THEREAU Cyril;2;20;5.8;6.9;7;3;2;0;0;0;0;0
A;CROTONE;TONEV Aleksandar;1;7;5.36;5.36;0;0;0;0;0;0;0;0
A;CROTONE;TROTTA Marcello;1;31;5.85;6.45;7;2;2;0;0;0;1;0
A;CROTONE;TUMMINELLO Marco;3;5;6.1;7.5;3;0;1;0;0;0;0;0
A;VERONA;VERDE Daniele;2;29;5.76;6.1;2;3;0;0;0;0;0;0
A;BOLOGNA;VERDI Simone;2;33;6.08;7.35;10;8;2;0;0;0;0;0
A;ATALANTA;VIDO Luca;1;3;5.67;5.67;0;0;0;0;0;0;0;0
A;SAMPDORIA;ZAPATA Duvan;3;28;6.16;7.25;10;3;0;0;0;0;0;0
