R;S;Gi;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
P;MILAN;ABBIATI Christian;5;1;7;7;0;0;0;0;0;0;0;0
P;PALERMO;ALASTRA Fabrizio;3;2;6;3;0;0;0;0;0;6;0;0
P;FROSINONE;BARDI Francesco;5;1;7.5;6.5;0;0;1;0;0;3;0;1
P;ATALANTA;BASSI Davide;1;1;6;3;0;0;0;0;0;3;0;0
P;CARPI;BELEC Vid;4;30;6.23;4.95;0;0;1;0;0;41;0;1
P;CARPI;BENUSSI Francesco;4;4;5.75;5;0;0;0;0;0;3;0;0
P;LAZIO;BERISHA Etrit;3;11;5.95;5;0;0;1;0;0;13;0;1
P;CHIEVO;BIZZARRI Benjamin;4;35;6.27;5.19;0;0;2;0;0;43;0;2
P;SAMPDORIA;BRIGNOLI Alberto;1;1;6;1;0;0;0;0;0;5;0;0
P;CARPI;BRKIC Zeljko;2;4;5.12;2.12;0;0;0;0;0;12;0;0
P;JUVENTUS;BUFFON Gianluigi;5;30;6.37;5.9;0;0;1;0;0;17;0;1
P;INTER;CARRIZO Juan Pablo;3;2;5.75;3.75;0;0;0;0;0;4;0;0
P;CARPI;COLOMBI Simone;5;2;6;5;0;0;0;0;0;2;0;0
P;SASSUOLO;CONSIGLI Andrea;4;36;6.21;5.22;0;0;3;1;1;37;0;2
P;VERONA;COPPOLA Ferdinando;1;1;6;3;0;0;0;0;1;1;0;0
P;BOLOGNA;DA COSTA;4;5;5.9;5;0;0;1;0;0;4;0;0
P;ROMA;DE SANCTIS Morgan;2;4;6;5;0;0;0;0;0;7;0;1
P;MILAN;DIEGO LOPEZ Rodriguez;2;8;5.94;4.12;0;0;1;0;0;14;0;0
P;MILAN;DONNARUMMA Gianluigi;4;30;6.25;5.23;0;0;3;0;0;29;0;0
P;NAPOLI;GABRIEL Vasconcelos Ferreira;5;1;5;5;0;0;0;0;0;3;0;1
P;VERONA;GOLLINI Pierluigi;3;26;6.21;4.48;0;0;2;0;0;44;0;0
P;INTER;HANDANOVIC Samir;4;36;6.39;5.46;0;0;5;0;0;34;0;1
P;TORINO;ICHAZO Salvador;3;2;5.5;4;0;0;0;0;0;4;0;0
P;UDINESE;KARNEZIS Orestis;3;37;6.11;4.61;0;0;0;0;0;60;0;1
P;GENOA;LAMANNA Eugenio;3;13;6.27;4.73;0;0;0;0;1;18;0;0
P;FROSINONE;LEALI Nicola;3;33;6.14;4.39;0;0;3;0;0;59;0;1
P;FIORENTINA;LEZZERINI Luca;3;2;6;4.5;0;0;0;0;0;3;0;0
P;LAZIO;MARCHETTI Federico;3;29;6.09;4.95;0;0;0;0;0;39;0;2
P;BOLOGNA;MIRANTE Antonio;4;33;6.29;5.11;0;0;2;0;0;41;0;1
P;JUVENTUS;NETO Norberto;2;3;6;5;0;0;0;0;0;3;0;0
P;TORINO;PADELLI Daniele;3;33;5.95;4.44;0;0;3;0;1;50;0;0
P;SASSUOLO;PEGOLO Gianluca;5;2;6.5;5.17;0;0;1;0;0;2;0;0
P;EMPOLI;PELAGOTTI Alberto;4;6;6.42;5.58;0;0;0;0;0;5;0;0
P;GENOA;PERIN Mattia;3;25;6.3;5.18;0;0;2;0;0;30;0;1
P;PALERMO;POSAVEC Josip;5;1;7;7;0;0;0;0;0;0;0;0
P;EMPOLI;PUGLIESI Maurizio;5;1;6.5;5.5;0;0;0;0;0;1;0;0
P;ATALANTA;RADUNOVIC Boris;5;1;6;5;0;0;0;0;0;1;0;0
P;VERONA;RAFAEL De Andrade;2;12;5.79;4.21;0;0;0;1;0;18;0;0
P;NAPOLI;REINA Jose’ Manuel Paez;4;37;6.08;5.28;0;0;1;0;0;29;0;0
P;CHIEVO;SECULIN Andrea;5;3;6.5;5.83;0;0;0;0;0;2;0;0
P;EMPOLI;SKORUPSKI Lukasz;3;31;6.11;4.69;0;0;2;0;0;43;0;0
P;PALERMO;SORRENTINO Stefano;3;35;6.44;4.77;0;0;1;0;0;58;0;0
P;ATALANTA;SPORTIELLO Marco;4;36;6.22;5.25;0;0;2;0;0;43;0;3
P;ROMA;SZCZESNY Wojciech;4;34;6.21;5.19;0;0;1;0;0;34;0;0
P;FIORENTINA;TATARUSANU Anton Ciprian;3;37;6.05;4.97;0;0;2;0;0;39;0;0
P;SAMPDORIA;VIVIANO Emiliano;3;37;6.22;5;0;0;2;0;0;56;0;4
P;FROSINONE;ZAPPINO Massimo;2;4;5.5;2;0;0;0;0;0;14;0;0
D;MILAN;ABATE Ignazio;3;26;5.9;5.92;1;1;7;0;0;0;0;0
D;SASSUOLO;ACERBI Francesco;5;35;6.17;6.38;3;0;3;0;0;0;0;0
D;UDINESE;ADNAN Ali Kadhim;3;27;5.67;5.7;1;1;6;0;0;0;0;0
D;FROSINONE;AJETI Arlind;2;15;5.8;5.77;1;0;5;1;0;0;0;0
D;VERONA;ALBERTAZZI Michelangelo;3;10;5.75;5.55;0;0;4;0;0;0;0;0
D;NAPOLI;ALBIOL Tortajada Raul;4;36;6.03;6;1;1;10;0;0;0;0;0
D;MILAN;ALEX Rodrigo Dias Da Costa;4;25;5.94;6.24;3;1;5;0;0;0;0;0
D;JUVENTUS;ALEX SANDRO;4;20;6.32;6.6;2;3;5;1;0;0;0;0
D;FIORENTINA;ALONSO Mendoza Marcos;4;30;5.97;6.27;3;4;8;0;0;0;0;0
D;PALERMO;ANDELKOVIC Sinisa;3;22;5.7;5.64;0;1;3;1;0;0;0;0
D;GENOA;ANSALDI Cristian;4;24;6.15;6.23;0;4;4;0;0;0;0;0
D;SASSUOLO;ANTEI Luca;4;5;5.7;5.75;0;1;2;0;0;0;0;0
D;MILAN;ANTONELLI Luca;3;27;5.94;6.28;3;1;2;0;0;0;0;0
D;EMPOLI;ARIAUDO Lorenzo;4;8;5.69;5.72;0;0;0;0;0;0;0;0
D;UDINESE;ARMERO Pablo;2;5;5.8;6;1;0;0;0;1;0;0;0
D;FIORENTINA;ASTORI Davide;4;33;5.94;5.86;0;0;5;0;0;0;0;0
D;TORINO;AVELAR Danilo;4;5;5.9;5.75;0;1;1;0;1;0;0;0
D;EMPOLI;BARBA Federico;2;10;5.6;5.45;0;0;3;0;0;0;0;0
D;JUVENTUS;BARZAGLI Andrea;5;31;6.39;6.45;1;0;2;0;0;0;0;0
D;LAZIO;BASTA Dusan;3;22;5.59;5.48;0;0;1;0;1;0;0;0
D;ATALANTA;BELLINI Gianpaolo;3;15;5.83;5.9;1;0;4;0;0;0;0;0
D;FROSINONE;BERTONCINI Davide;2;5;5.2;5.1;0;0;1;0;0;0;0;0
D;VERONA;BIANCHETTI Matteo;3;21;5.62;5.67;1;0;4;0;0;0;0;0
D;LAZIO;BISEVAC Milan;3;10;5.65;5.95;1;0;0;0;0;0;0;0
D;EMPOLI;BITTANTE Luca;5;12;5.96;5.96;0;0;0;0;0;0;0;0
D;FROSINONE;BLANCHARD Leonardo;2;28;5.64;5.71;3;0;12;1;0;0;0;0
D;JUVENTUS;BONUCCI Leonardo;4;36;6.06;6.19;3;1;6;0;1;0;0;0
D;TORINO;BOVO Cesare;3;20;5.88;5.93;2;0;10;0;0;0;0;0
D;LAZIO;BRAAFHEID Edson;1;5;5.5;5.5;0;0;0;0;0;0;0;0
D;ATALANTA;BRIVIO Davide;3;13;5.77;5.69;0;0;2;0;0;0;0;0
D;CARPI;BUBNJIC Igor;3;9;5.44;5.39;0;0;1;0;0;0;0;0
D;GENOA;BURDISSO Nicolas Andres;3;27;5.91;5.77;0;0;7;0;0;0;0;0
D;CHIEVO;CACCIATORE Fabrizio;3;28;5.84;5.95;1;3;6;0;0;0;0;0
D;JUVENTUS;CACERES Martin;5;6;6.08;6.08;0;0;0;0;0;0;0;0
D;MILAN;CALABRIA Davide;3;6;6;5.67;0;0;4;0;0;0;0;0
D;EMPOLI;CAMPORESE Michele;1;2;4.75;3.75;0;0;0;0;1;0;0;0
D;SASSUOLO;CANNAVARO Paolo;4;30;6;5.9;0;1;8;0;0;0;0;0
D;SAMPDORIA;CASSANI Mattia;3;24;5.67;5.54;0;1;6;1;0;0;0;0
D;ROMA;CASTAN Leandro;1;5;5.1;5;0;0;1;0;0;0;0;0
D;CHIEVO;CESAR Bostjan;3;31;5.92;5.84;1;0;9;1;0;0;0;0
D;ATALANTA;CHERUBIN Nicolo’;3;12;5.71;5.81;1;0;1;1;0;0;0;0
D;JUVENTUS;CHIELLINI Giorgio;4;24;6.08;6.08;1;0;4;1;0;0;0;0
D;NAPOLI;CHIRICHES Vlad;4;8;6.06;6.31;1;0;2;0;0;0;0;0
D;FROSINONE;CIOFANI Matteo;3;16;5.69;5.69;0;1;2;0;0;0;0;0
D;PALERMO;CIONEK Thiago;3;5;6.2;6;0;0;2;0;0;0;0;0
D;GENOA;CISSOKHO Issa;4;11;5.91;5.91;0;1;0;1;0;0;0;0
D;SAMPDORIA;CODA Andrea;1;2;5.5;5.25;0;0;1;0;0;0;0;0
D;BOLOGNA;CONSTANT Kevin;3;6;5.5;5.5;0;0;0;0;0;0;0;0
D;ATALANTA;CONTI Andrea;3;11;5.68;6.12;2;1;1;1;0;0;0;0
D;EMPOLI;COSIC Uros;3;9;5.78;5.56;0;0;4;0;0;0;0;0
D;EMPOLI;COSTA Andrea;3;23;5.91;5.96;1;0;4;0;0;0;0;0
D;CHIEVO;COSTA Filippo;4;4;5.88;5.88;0;0;0;0;0;0;0;0
D;FROSINONE;CRIVELLO Roberto;2;17;5.32;5.24;0;1;5;0;0;0;0;0
D;INTER;D’AMBROSIO Danilo;2;18;5.72;5.92;2;0;3;1;0;0;0;0
D;CHIEVO;DAINELLI Dario;2;18;5.86;5.89;1;0;5;0;0;0;0;0
D;UDINESE;DANILO Larangeira;3;34;5.75;5.56;0;0;9;2;0;0;0;0
D;CARPI;DAPRELA’ Fabio;1;4;5.62;5.38;0;0;2;0;0;0;0;0
D;GENOA;DE MAIO Sebastian;3;27;5.76;5.67;1;0;5;1;1;0;0;0
D;MILAN;DE SCIGLIO Mattia;2;22;5.41;5.34;0;0;3;0;0;0;0;0
D;SAMPDORIA;DE SILVESTRI Lorenzo;4;17;5.97;6.15;1;2;4;0;0;0;0;0
D;LAZIO;DE VRIJ Stefan;3;2;5.25;5.25;0;0;0;0;0;0;0;0
D;SAMPDORIA;DIAKITE Mobido;3;26;5.65;5.62;1;0;8;0;0;0;0;0
D;ROMA;DIGNE Lucas;4;33;6.08;6.32;3;1;4;0;0;0;0;0
D;ATALANTA;DJIMSITI Berat;1;3;5.17;5;0;0;1;0;0;0;0;0
D;SAMPDORIA;DODO’;2;17;5.59;5.53;0;1;4;0;0;0;0;0
D;UDINESE;DOMIZZI Maurizio;2;3;5;4.83;0;0;1;0;0;0;0;0
D;ATALANTA;DRAME’ Boukary;3;25;5.76;5.7;0;0;1;1;0;0;0;0
