R;S;Gi;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
D;UDINESE;EDENILSON Andrade dos Santos;2;28;5.55;5.5;0;0;3;0;0;0;0;0
D;PALERMO;EL KAOUTARI Abdelhamid;3;7;5.71;6;1;0;2;0;0;0;0;0
D;MILAN;ELY Rodrigo;2;3;4.67;3.5;0;0;1;1;1;0;0;0
D;ROMA;EMERSON Palmieri Dos Santos;3;4;5.88;6.5;1;0;1;0;0;0;0;0
D;JUVENTUS;EVRA Patrice;4;25;6.06;6.24;2;2;5;1;0;0;0;0
D;UDINESE;FELIPE;4;25;6.02;5.92;1;1;11;1;0;0;0;0
D;BOLOGNA;FERRARI Alex;2;18;5.67;5.5;0;0;6;0;0;0;0;0
D;GENOA;FIAMOZZI Riccardo;4;7;5.93;5.86;0;0;1;0;0;0;0;0
D;GENOA;FIGUEIRAS Diogo;3;9;5.78;6;1;0;2;0;0;0;0;0
D;CHIEVO;FREY Nicholas Sebastian;3;18;5.64;5.44;0;0;3;0;1;0;0;0
D;GENOA;GABRIEL SILVA Antunes Moises;3;24;5.73;5.72;0;2;4;0;0;0;0;0
D;CARPI;GAGLIOLO Riccardo;3;31;5.84;5.73;1;0;11;1;0;0;0;0
D;CHIEVO;GAMBERINI Alessandro;4;22;5.86;5.8;0;1;1;0;1;0;0;0
D;BOLOGNA;GASTALDELLO Daniele;4;26;6.04;6.02;1;1;7;1;0;0;0;0
D;TORINO;GASTON SILVA Alexis Perdomo;2;11;5.59;5.58;0;1;3;0;0;0;0;0
D;SASSUOLO;GAZZOLA Marcello;5;8;5.94;6;0;1;1;0;0;0;0;0
D;LAZIO;GENTILETTI Santiago;2;19;5.45;5.08;0;0;10;0;1;0;0;0
D;NAPOLI;GHOULAM Faouzi;4;34;6;6.01;0;2;3;0;0;0;0;0
D;VERONA;GILBERTO;3;9;5.78;5.72;0;0;2;0;0;0;0;0
D;TORINO;GLIK kamil;3;32;5.81;5.67;0;0;10;0;0;0;0;0
D;CHIEVO;GOBBI Massimo;3;34;5.88;5.81;0;1;7;0;0;0;0;0
D;PALERMO;GOLDANIGA Edoardo;2;15;5.47;5.69;2;0;5;0;0;0;0;0
D;PALERMO;GONZALEZ Giancarlo;3;35;5.71;5.6;2;0;12;0;2;0;0;0
D;ROMA;GYOMBER Norbert;3;2;5.75;5.75;0;0;1;0;0;0;0;0
D;VERONA;HELANDER Filip;3;24;5.73;5.9;2;0;4;0;0;0;0;0
D;UDINESE;HEURTAUX Thomas;2;14;5.61;5.46;0;0;4;0;0;0;0;0
D;LAZIO;HOEDT Wesley;2;24;5.52;5.42;0;0;3;1;0;0;0;0
D;NAPOLI;HYSAJ Elseid;3;37;5.96;5.95;0;2;5;0;0;0;0;0
D;JUVENTUS;ISLA Mauricio;1;1;4.5;4.5;0;0;0;0;0;0;0;0
D;GENOA;IZZO Armando;3;32;6.02;5.86;0;0;6;2;0;0;0;0
D;TORINO;JANSSON Pontus;4;7;5.86;6.19;1;0;1;0;0;0;0;0
D;INTER;JUAN Jesus;3;16;5.62;5.53;0;0;3;0;0;0;0;0
D;LAZIO;KONKO Abdoulay;4;18;6.03;5.94;0;0;3;0;0;0;0;0
D;NAPOLI;KOULIBALY Kalidou;4;33;6.23;6.06;0;0;11;0;0;0;0;0
D;BOLOGNA;KRAFHT Emil;3;2;5.5;5.5;0;0;0;0;0;0;0;0
D;EMPOLI;LAURINI Vincent;3;24;5.75;5.76;1;0;5;0;0;0;0;0
D;PALERMO;LAZAAR Achraf;2;30;5.53;5.6;1;1;2;1;0;0;0;0
D;CARPI;LETIZIA Gaetano;3;33;5.89;5.9;1;0;5;0;0;0;0;0
D;JUVENTUS;LICHTSTEINER Stephan;4;24;6.06;6;0;1;5;0;0;0;0;0
D;SASSUOLO;LONGHI Alessandro;4;6;5.92;6;0;1;1;0;0;0;0;0
D;NAPOLI;MAGGIO Christian;1;5;5.4;5.4;0;0;0;0;0;0;0;0
D;ROMA;MAICON Douglas Sisenando;3;15;5.67;5.87;1;2;2;1;0;0;0;0
D;BOLOGNA;MAIETTA Domenico;4;19;6.08;5.97;0;0;4;0;0;0;0;0
D;TORINO;MAKSIMOVIC Nikola;3;15;5.8;5.81;0;1;2;0;0;0;0;0
D;ROMA;MANOLAS Konstantinos;4;37;6.16;6.23;2;2;7;0;1;0;0;0
D;GENOA;MARCHESE Giovanni;3;10;5.7;5.5;0;0;4;0;0;0;0;0
D;EMPOLI;MARIO RUI Silva Duarte;3;36;5.79;5.71;0;1;6;1;0;0;0;0
D;VERONA;MARQUEZ Rafael;2;9;5.61;5.22;0;0;3;0;1;0;0;0
D;EMPOLI;MARTINELLI Luca;1;1;5;5;0;0;0;0;0;0;0;0
D;ATALANTA;MASIELLO Andrea;4;28;5.95;5.84;0;1;7;0;0;0;0;0
D;BOLOGNA;MASINA Adam;3;33;5.76;5.88;2;3;8;1;0;0;0;0
D;CHIEVO;MATTIELLO Federico;5;1;5;6;0;1;0;0;0;0;0;0
D;LAZIO;MAURICIO;2;23;5.5;5.17;0;0;13;1;0;0;0;0
D;BOLOGNA;MBAYE Ibrahima;3;15;5.6;5.43;0;0;3;1;0;0;0;0
D;SAMPDORIA;MESBAH Djamel;3;7;5.43;5.29;0;0;2;0;0;0;0;0
D;MILAN;MEXES Philippe;2;5;5.8;6;1;0;4;0;0;0;0;0
D;INTER;MIRANDA Joao;5;32;6.17;6.17;1;2;6;2;0;0;0;0
D;SAMPDORIA;MOISANDER Niklas;2;20;5.7;5.45;0;0;4;1;1;0;0;0
D;TORINO;MOLINARO Cristian;3;27;5.74;5.77;1;0;3;1;0;0;0;0
D;INTER;MONTOYA Martin;2;3;5.33;5.33;0;0;0;0;0;0;0;0
D;VERONA;MORAS Evangelos;3;31;5.82;5.85;1;1;4;1;0;0;0;0
D;TORINO;MORETTI Emiliano;3;34;5.79;5.83;1;0;4;0;0;0;0;0
D;PALERMO;MORGANELLA Michel;2;14;5.64;5.5;0;1;4;1;0;0;0;0
D;BOLOGNA;MORLEO Archimede;5;5;6;6;0;0;0;0;0;0;0;0
D;GENOA;MUNOZ Ezequiel Matias;3;17;5.85;5.65;0;0;7;0;0;0;0;0
D;INTER;MURILLO Jeison;4;33;5.86;5.88;2;1;3;3;1;0;0;0
D;INTER;NAGATOMO Yuto;2;21;5.71;5.52;0;0;4;2;0;0;0;0
D;BOLOGNA;OIKONOMOU Marios;3;20;5.85;5.72;0;1;5;1;0;0;0;0
D;ATALANTA;PALETTA Gabriel Alejandro;4;24;5.96;5.9;1;0;5;2;0;0;0;0
D;FIORENTINA;PASQUAL Manuel;4;14;6;5.97;0;2;5;0;0;0;0;0
D;UDINESE;PASQUALE Giovanni;4;4;6;5.67;0;0;2;0;0;0;0;0
D;LAZIO;PATRIC;3;8;5.69;5.44;0;0;2;1;0;0;0;0
D;FROSINONE;PAVLOVIC Daniel;3;22;5.75;5.84;0;5;6;0;0;0;0;0
D;SASSUOLO;PELUSO Federico;3;33;5.79;5.75;1;1;11;0;0;0;0;0
D;SAMPDORIA;PEREIRA Pedro;4;9;5.72;5.83;0;1;0;0;0;0;0;0
D;TORINO;PERES Bruno;3;31;6.13;6.31;3;3;9;0;1;0;0;0
D;PALERMO;PEZZELLA Giuseppe;1;5;5.3;5.3;0;0;0;0;0;0;0;0
D;UDINESE;PIRIS Ivan;3;25;5.62;5.52;0;0;5;0;0;0;0;0
D;VERONA;PISANO Eros;3;34;5.78;6.12;5;0;7;0;0;0;0;0
D;CARPI;POLI Fabrizio;3;10;5.9;5.65;0;0;5;0;0;0;0;0
D;FROSINONE;PRYIMA Vasyl;4;4;5.62;5.6;0;0;1;0;0;0;0;0
D;LAZIO;RADU Stefan;2;13;5.5;5.38;0;1;3;1;0;0;0;0
D;ATALANTA;RAIMONDI Cristian;4;16;5.91;5.76;0;0;4;0;0;0;0;0
D;SAMPDORIA;RANOCCHIA Andrea;3;18;5.72;5.53;0;0;5;1;0;0;0;0
D;NAPOLI;REGINI Vasco;2;15;5.43;5.37;0;0;2;0;0;0;0;0
D;PALERMO;RISPOLI Andrea;3;18;5.81;5.94;0;4;3;0;0;0;0;0
D;FIORENTINA;RODRIGUEZ Gonzalo;4;35;6.06;6.3;4;0;7;0;0;0;0;0
D;MILAN;ROMAGNOLI Alessio;2;34;5.65;5.5;0;0;8;1;0;0;0;0
D;CARPI;ROMAGNOLI Simone;3;30;5.85;5.77;0;0;5;0;0;0;0;0
D;FIORENTINA;RONCAGLIA Facundo;3;29;5.74;5.69;1;0;9;0;0;0;0;0
D;FROSINONE;ROSI Aleandro;3;25;5.78;5.67;0;0;6;0;0;0;0;0
D;BOLOGNA;ROSSETTINI Luca;3;29;5.66;5.91;3;1;5;0;0;0;0;0
D;ROMA;RUDIGER Antonio;3;30;5.85;5.98;2;0;4;0;0;0;0;0
D;JUVENTUS;RUGANI Daniele;5;16;6.12;6.06;0;0;2;0;0;0;0;0
D;FROSINONE;RUSSO Adriano;2;10;5.7;5.9;1;0;2;0;0;0;0;0
D;CARPI;SABELLI Stefano;3;7;6;6.36;1;0;1;0;0;0;0;0
D;VERONA;SAMIR;2;3;5.83;6.67;1;0;1;0;0;0;0;0
D;INTER;SANTON Davide;3;11;5.59;5.55;0;0;1;0;0;0;0;0
D;CHIEVO;SARDO Gennaro;2;6;5.5;5.75;1;0;3;0;0;0;0;0
D;SAMPDORIA;SILVESTRE Matias;3;25;5.74;5.6;0;0;7;0;0;0;0;0
D;SAMPDORIA;SKRINIAR Milan;3;2;5.25;4.75;0;0;1;1;0;0;0;0
D;VERONA;SOUPRAYEN Samuel;2;20;5.65;5.48;0;0;5;1;0;0;0;0
D;CHIEVO;SPOLLI Nicolas;3;14;5.86;5.61;0;0;5;1;0;0;0;0
D;ATALANTA;STENDARDO Guglielmo;3;13;5.81;5.88;1;0;3;1;0;0;0;0
D;NAPOLI;STRINIC Ivan;4;4;6;6;0;0;0;0;0;0;0;0
D;PALERMO;STRUNA Aljaz;2;22;5.25;5.11;1;0;10;1;0;0;0;0
D;CARPI;SUAGHER Emanuele;2;8;5.94;5.5;0;0;8;0;0;0;0;0
D;INTER;TELLES Alex;3;20;5.78;5.65;0;1;5;1;0;0;0;0
D;SASSUOLO;TERRANOVA Emanuele;3;5;5.9;5.83;0;0;1;0;0;0;0;0
D;ATALANTA;TOLOI Rafael;3;23;5.74;5.63;1;0;6;1;1;0;0;0
D;FIORENTINA;TOMOVIC Nenad;3;20;5.78;5.65;0;0;5;0;0;0;0;0
D;EMPOLI;TONELLI Lorenzo;4;26;6.02;6.06;2;0;8;1;0;0;0;0
D;ROMA;TOROSIDIS Vasilios;3;7;5.5;5.44;0;0;2;0;0;0;0;0
D;PALERMO;VITIELLO Roberto;1;8;5.44;4.88;0;0;3;1;1;0;0;0
D;SASSUOLO;VRSALJKO Sime;4;34;5.99;5.97;0;4;7;1;0;0;0;0
D;UDINESE;WAGUE Molla;2;20;5.58;5.4;0;0;5;1;0;0;0;0
D;CARPI;WALLACE;5;4;6;5.75;0;0;1;0;0;0;0;0
D;UDINESE;WIDMER Silvan;4;26;6.04;6.04;0;2;4;0;0;0;0;0
D;CARPI;ZACCARDO Cristian;4;27;6;6.04;1;0;4;0;0;0;0;0
D;EMPOLI;ZAMBELLI Marco;4;18;5.78;5.68;0;0;3;0;0;0;0;0
D;MILAN;ZAPATA Cristian;3;16;5.59;5.69;1;0;3;0;0;0;0;0
D;TORINO;ZAPPACOSTA Davide;3;21;5.79;5.89;1;1;3;0;0;0;0;0
D;ROMA;ZUKANOVIC Ervin;3;23;5.76;5.9;3;1;7;1;1;0;0;0
D;BOLOGNA;ZUNIGA Juan Camilo;2;9;5.44;5.56;0;1;0;0;0;0;0;0
C;TORINO;ACQUAH Afriyie;3;27;5.94;6.07;2;2;8;0;0;0;0;0
C;NAPOLI;ALLAN Marques Loureiro;5;35;6.36;6.67;3;4;4;0;0;0;0;0
C;SAMPDORIA;ALVAREZ Ricardo;3;13;5.81;6.04;1;1;2;0;0;0;0;0
C;JUVENTUS;ASAMOAH Kwadwo;4;7;6.21;6.29;0;1;1;0;0;0;0;0
C;FIORENTINA;BADELJ Milan;3;27;6;5.87;0;1;7;1;0;0;0;0
C;UDINESE;BADU Emmanuel Agyemang;3;33;5.98;6.29;4;1;6;0;0;0;0;0
C;SAMPDORIA;BARRETO Edgar Osvaldo;3;28;5.71;5.7;0;1;3;0;0;0;0;0
C;TORINO;BASELLI Daniele;3;33;5.92;6.22;4;1;6;0;0;0;0;0
C;TORINO;BENASSI Marco;3;27;5.96;6.18;3;0;6;0;0;0;0;0
C;MILAN;BERTOLACCI Andrea;2;25;5.46;5.5;1;1;6;0;0;0;0;0
C;CARPI;BIANCO Raffaele;4;26;6.06;6.12;1;2;5;1;0;0;0;0
C;LAZIO;BIGLIA Lucas Rodrigo;4;27;6.26;6.57;4;2;9;1;0;0;0;0
C;SASSUOLO;BIONDINI Davide;4;18;6;5.92;0;0;3;0;0;0;0;0
C;CHIEVO;BIRSA Valter;3;35;5.94;6.49;6;6;4;0;0;0;1;0
C;FIORENTINA;BLASZCZYKOWSKI Jakub;3;11;5.86;6.29;2;0;1;0;0;0;0;0
C;MILAN;BOATENG Kevin prince;2;5;5.6;6;1;0;1;0;0;0;0;0
C;MILAN;BONAVENTURA Giacomo;4;33;6.27;6.91;6;7;8;0;0;0;0;0
C;FIORENTINA;BORJA VALERO Iglesias;5;37;6.38;6.8;4;6;5;0;0;0;0;0
C;BOLOGNA;BRIENZA Franco;4;26;6.13;6.58;3;3;1;0;0;0;0;0
C;BOLOGNA;BRIGHI Matteo;3;20;5.85;5.78;0;0;3;0;0;0;0;0
C;INTER;BROZOVIC Marcelo;4;30;6.12;6.5;4;4;7;0;0;0;0;0
C;PALERMO;BRUGMAN Gaston;3;13;5.65;5.58;0;0;2;0;0;0;0;0
C;EMPOLI;BUCHEL Marcel;4;26;6.08;6.15;2;1;10;0;0;0;0;0
C;LAZIO;CANDREVA Antonio;3;30;5.9;6.73;10;3;4;0;0;0;2;0
C;GENOA;CAPEL Diego;2;18;5.72;5.66;0;0;2;0;0;0;0;0
C;SAMPDORIA;CARBONERO Carlos;4;14;6.07;6.18;0;3;3;0;0;0;0;0
C;FROSINONE;CARLINI Massimiliano;4;11;5.77;5.77;0;0;0;0;0;0;0;0
C;ATALANTA;CARMONA Carlos E.;1;6;5.5;5.17;0;0;2;1;0;0;0;0
C;CHIEVO;CASTRO Lucas;3;33;6.08;6.21;3;0;9;0;0;0;0;0
C;LAZIO;CATALDI Danilo;2;18;5.64;5.69;1;3;8;1;0;0;0;0
C;NAPOLI;CHALOBAH Nathaniel;5;1;6;6;0;0;0;0;0;0;0;0
C;VERONA;CHECCHIN Luca;5;2;6;5.67;0;0;1;0;0;0;0;0
C;FROSINONE;CHIBSAH Yussie Raman;4;19;5.87;5.87;0;1;1;1;0;0;0;0
C;PALERMO;CHOCHEV Ivaylo;2;23;5.52;5.44;0;1;6;0;0;0;0;0
C;SAMPDORIA;CHRISTODOULOPOULOS Lazaros;3;8;5.69;5.88;1;0;3;0;0;0;0;0
C;ATALANTA;CIGARINI Luca;4;23;6.2;6.29;2;2;10;0;0;0;0;0
C;CARPI;COFIE Isaac;3;27;5.8;5.67;0;0;7;0;0;0;0;0
C;SAMPDORIA;CORREA Joaquin;3;24;5.75;5.96;3;0;5;1;0;0;0;0
C;FIORENTINA;COSTA Tino;3;17;5.94;5.76;0;0;7;0;0;0;0;0
C;CARPI;CRIMI Marco;3;19;6;5.76;0;0;9;0;0;0;0;0
C;BOLOGNA;CRISETIG Lorenzo;1;5;5.3;5.2;0;0;1;0;0;0;0;0
C;PALERMO;CRISTANTE Bryan;3;2;5.5;5.5;0;0;0;0;0;0;0;0
C;EMPOLI;CROCE Daniele;5;27;6.2;6.19;0;1;3;0;0;0;0;0
C;JUVENTUS;CUADRADO Juan;4;25;6.34;6.88;4;2;2;0;0;0;0;0
C;ATALANTA;D’ALESSANDRO Marco;3;19;5.95;6.4;3;2;3;0;0;0;0;0
C;NAPOLI;DAVID LOPEZ Silva;4;18;5.97;6.05;1;0;2;0;0;0;0;0
C;CARPI;DE GUZMAN Jonathan;3;4;5.75;6.5;1;0;0;0;0;0;0;0
C;MILAN;DE JONG Nigel;1;5;5.2;5;0;0;0;1;0;0;0;0
C;ATALANTA;DE ROON Marten;3;35;6.06;6.01;1;1;9;1;0;0;0;0
C;ROMA;DE ROSSI Daniele;3;23;6;5.98;1;1;9;0;0;0;0;0
C;CARPI;DI GAUDIO Antonio;4;27;6.04;6.41;3;3;2;0;0;0;0;0
C;ATALANTA;DIAMANTI Alessandro;3;14;5.96;6.11;1;1;4;0;0;0;0;0
C;BOLOGNA;DIAWARA Amadou;4;33;6.03;5.86;0;1;9;2;0;0;0;0
C;EMPOLI;DIOUSSE’ Assane;4;14;6;5.83;0;0;2;1;0;0;0;0
