R;S;G;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
D;TORINO;BARRECA Antonio;4;27;5.83;5.87;0;2;2;0;0;0;0;0
D;JUVENTUS;BARZAGLI Andrea;4;20;6.1;6.05;0;0;2;0;0;0;0;0
D;LAZIO;BASTA Dusan;3;27;5.85;6;1;2;2;0;0;0;0;0
D;ATALANTA;BASTONI Alessandro;3;2;6;6;0;0;0;0;0;0;0;0
D;LAZIO;BASTOS;2;10;5.6;5.3;0;0;4;1;0;0;0;0
D;GENOA;BEGHETTO Andrea;4;3;6;6;0;0;0;0;0;0;0;0
D;EMPOLI;BELLUSCI Giuseppe;2;33;5.67;5.53;1;0;15;0;0;0;0;0
D;JUVENTUS;BENATIA Medhi;5;15;6.17;6.25;1;0;3;0;0;0;0;0
D;SAMPDORIA;BERESZYNSKI Bartosz;3;12;5.5;5.54;0;1;1;0;0;0;0;0
D;PESCARA;BIRAGHI Cristiano;2;34;5.59;5.53;1;3;10;0;0;0;1;0
D;GENOA;BIRASCHI Davide;3;6;5.83;5.79;0;0;2;0;0;0;0;0
D;CAGLIARI;BITTANTE Luca;1;4;5.5;5.12;0;0;4;0;0;0;0;0
D;JUVENTUS;BONUCCI Leonardo;4;28;6.07;6.31;3;0;4;0;0;0;0;0
D;PESCARA;BOVO Cesare;3;13;5.85;5.64;0;0;6;0;0;0;0;0
D;GENOA;BURDISSO Nicolas Andres;3;34;5.78;5.64;0;0;10;0;0;0;0;0
D;CHIEVO;CACCIATORE Fabrizio;2;29;5.74;5.72;1;1;7;1;0;0;0;0
D;MILAN;CALABRIA Davide;3;11;5.82;5.79;0;1;3;0;0;0;0;0
D;ATALANTA;CALDARA Mattia;4;30;6.27;6.9;7;0;4;0;0;0;0;0
D;PESCARA;CAMPAGNARO Hugo;2;18;5.64;5.66;2;0;8;0;1;0;0;0
D;SASSUOLO;CANNAVARO Paolo;3;17;5.88;6;1;0;2;0;0;0;0;0
D;CAGLIARI;CAPUANO Marco;2;10;5.3;5.8;2;0;0;1;0;0;0;0
D;TORINO;CARLAO;2;4;5.25;5.12;0;0;1;0;0;0;0;0
D;TORINO;CASTAN Leandro;4;13;5.92;5.77;0;0;4;0;0;0;0;0
D;CROTONE;CECCHERINI Federico;3;34;5.9;5.86;1;0;9;0;0;0;0;0
D;CAGLIARI;CEPPITELLI Luca;2;19;5.42;5.18;0;0;5;0;1;0;0;0
D;CHIEVO;CESAR Bostjan;2;16;5.66;5.56;1;0;8;1;0;0;0;0
D;JUVENTUS;CHIELLINI Giorgio;4;20;6.12;6.36;2;1;4;0;0;0;0;0
D;NAPOLI;CHIRICHES Vlad;4;13;5.96;6.42;2;0;0;0;0;0;0;0
D;PALERMO;CIONEK Thiago;3;28;5.68;5.54;0;0;8;0;0;0;0;0
D;PESCARA;CODA Andrea;2;13;5.12;4.89;0;0;6;1;0;0;0;0
D;ATALANTA;CONTI Andrea;4;32;6.3;6.98;8;4;12;0;0;0;0;0
D;EMPOLI;COSIC Uros;2;13;5.58;5.54;0;0;1;0;0;0;0;0
D;EMPOLI;COSTA Andrea;3;25;5.72;5.76;2;0;6;0;1;0;0;0
D;CHIEVO;COSTA Filippo;1;1;5.5;5.5;0;0;0;0;0;0;0;0
D;PESCARA;CRESCENZI Alessandro;3;18;5.58;5.63;0;1;1;0;0;0;0;0
D;INTER;D’AMBROSIO Danilo;3;32;5.72;6;3;2;4;0;0;0;0;0
D;CHIEVO;DAINELLI Dario;3;26;5.96;5.73;0;0;8;0;1;0;0;0
D;UDINESE;DANILO Larangeira;3;36;5.76;5.78;2;0;9;1;0;0;0;0
D;FIORENTINA;DE MAIO Sebastian;2;5;5.2;5.36;0;0;1;0;0;0;0;0
D;MILAN;DE SCIGLIO Mattia;3;25;5.72;5.65;0;0;4;0;0;0;0;0
D;TORINO;DE SILVESTRI Lorenzo;3;16;5.69;5.97;1;2;1;0;0;0;0;0
D;LAZIO;DE VRIJ Stefan;4;27;5.98;6.22;2;2;3;0;0;0;0;0
D;SASSUOLO;DELL’ORCO Cristian;4;9;5.94;5.94;0;0;0;0;0;0;0;0
D;EMPOLI;DIMARCO Federico;2;9;5.44;5.5;0;1;2;0;0;0;0;0
D;SAMPDORIA;DODO’;1;7;5;5;0;0;0;0;0;0;0;0
D;CROTONE;DOS SANTOS Claiton;2;10;5.2;5.18;0;0;2;0;0;0;0;0
D;ATALANTA;DRAME’ Boukary;5;9;6.22;6.17;0;0;1;0;0;0;0;0
D;CROTONE;DUSSENNE Noe;2;8;5;4.94;0;0;1;1;0;0;0;0
D;GENOA;EDENILSON Andrade dos Santos;4;14;6;6.07;0;3;2;1;0;0;0;0
D;ROMA;EMERSON Palmieri Dos Santos;4;23;6.04;6.06;0;1;1;0;0;0;0;0
D;JUVENTUS;EVRA Patrice;5;5;6.1;6.08;0;0;0;0;0;0;0;0
D;UDINESE;FARAONI Davide;1;5;5.4;5.2;0;0;2;0;0;0;0;0
D;ROMA;FAZIO Federico;4;36;6.03;6.18;2;1;3;0;0;0;0;0
D;UDINESE;FELIPE;3;32;5.86;5.84;1;1;9;0;0;0;0;0
D;BOLOGNA;FERRARI Alex;5;1;4.5;5.25;0;0;0;0;0;0;0;0
D;CROTONE;FERRARI Gianmarco;3;36;5.83;6;3;1;8;0;0;0;0;0
D;GENOA;FIAMOZZI Riccardo;5;1;5.5;5.75;0;0;0;0;0;0;0;0
D;ROMA;FLORENZI Alessandro;4;9;6.17;6.44;0;4;3;0;0;0;0;0
D;PESCARA;FORNASIER Michele;3;20;5.6;5.52;0;0;4;0;0;0;0;0
D;CHIEVO;FREY Nicolas;3;15;5.63;5.57;0;0;2;0;0;0;0;0
D;CHIEVO;GAMBERINI Alessandro;3;20;5.98;6.1;1;0;1;0;0;0;0;0
D;BOLOGNA;GASTALDELLO Daniele;3;23;5.7;5.46;0;1;10;2;0;0;0;0
D;SASSUOLO;GAZZOLA Marcello;2;16;5.53;5.5;0;1;3;0;0;0;0;0
D;GENOA;GENTILETTI Santiago;3;15;5.47;5.47;0;1;1;1;0;0;0;0
D;NAPOLI;GHOULAM Faouzi;4;28;6.04;6.16;0;4;1;0;0;0;0;0
D;CHIEVO;GOBBI Massimo;3;30;5.85;5.93;1;2;5;0;0;0;0;0
D;PALERMO;GOLDANIGA Edoardo;2;28;5.46;5.38;2;0;11;1;1;0;0;0
D;MILAN;GOMEZ Gustavo;3;12;5.71;5.58;0;0;4;0;0;0;0;0
D;PALERMO;GONZALEZ Giancarlo;3;21;5.45;5.33;1;0;7;2;0;0;0;0
D;PESCARA;GYOMBER Norbert;2;9;5.33;5.25;0;0;3;0;0;0;0;0
D;ATALANTA;HATEBOER Hans;4;3;6.17;6.17;0;1;2;0;0;0;0;0
D;BOLOGNA;HELANDER Filip;3;11;5.82;5.96;1;0;3;0;0;0;0;0
D;UDINESE;HEURTAUX Thomas;3;8;5.81;5.61;0;0;3;0;0;0;0;0
D;LAZIO;HOEDT Wesley;4;23;5.87;5.93;2;0;5;0;1;0;0;0
D;NAPOLI;HYSAJ Elseid;3;35;5.91;5.74;0;0;8;0;1;0;0;0
D;CAGLIARI;ISLA Mauricio;3;34;5.68;5.76;1;5;10;0;0;0;0;0
D;GENOA;IZZO Armando;4;28;5.89;5.74;0;2;5;0;2;0;0;0
D;ROMA;JUAN Jesus;3;16;5.84;5.69;0;0;5;0;0;0;0;0
D;ATALANTA;KONKO Abdoulay;5;10;6.1;6;0;0;2;0;0;0;0;0
D;NAPOLI;KOULIBALY Kalidou;5;28;6.36;6.46;2;0;6;0;0;0;0;0
D;BOLOGNA;KRAFTH Emil;3;24;5.69;5.6;0;0;1;2;0;0;0;0
D;EMPOLI;LAURINI Vincent;3;24;5.77;5.69;0;0;2;1;0;0;0;0
D;SASSUOLO;LETSCHERT Timo;2;9;5.33;5.11;0;0;2;1;0;0;0;0
D;JUVENTUS;LICHTSTEINER Stephan;4;25;5.92;6.02;1;2;5;0;0;0;0;0
D;SASSUOLO;LIROLA Pol;3;21;5.74;5.81;0;3;3;0;0;0;0;0
D;LAZIO;LUKAKU Jordan;4;15;6;5.93;0;0;2;0;0;0;0;0
D;NAPOLI;MAGGIO Christian;4;5;6.1;6.1;0;0;0;0;0;0;0;0
D;BOLOGNA;MAIETTA Domenico;3;27;5.69;5.61;0;1;8;0;0;0;0;0
D;NAPOLI;MAKSIMOVIC Nikola;3;8;5.56;5.88;1;0;1;0;0;0;0;0
D;ROMA;MANOLAS Konstantinos;4;32;6.17;6.16;1;0;7;0;0;0;0;0
D;ROMA;MARIO RUI Silva Duarte;2;4;5.25;5.12;0;0;1;0;0;0;0;0
D;CROTONE;MARTELLA Bruno;3;29;5.72;5.67;0;0;4;0;0;0;0;0
D;ATALANTA;MASIELLO Andrea;4;35;6.21;6.34;3;0;9;0;0;0;0;0
D;BOLOGNA;MASINA Adam;2;30;5.63;5.61;1;0;6;1;0;0;0;0
D;BOLOGNA;MBAYE Ibrahima;3;14;5.5;5.23;0;1;3;0;2;0;0;0
D;CROTONE;MESBAH Djamel;4;8;5.81;5.78;0;0;1;0;0;0;0;0
D;CAGLIARI;MIANGUE Senna;5;7;6;5.93;0;0;1;0;0;0;0;0
D;FIORENTINA;MILIC Hrvoje;4;15;5.6;5.71;0;3;4;0;0;0;0;0
D;INTER;MIRANDA Joao;4;32;6.11;6.02;0;0;6;0;0;0;0;0
D;TORINO;MOLINARO Cristian;4;10;6;6.1;0;2;2;0;0;0;0;0
D;TORINO;MORETTI Emiliano;4;23;6.02;6.13;1;2;5;0;0;0;0;0
D;PALERMO;MORGANELLA Michel;1;9;5.22;5.06;0;0;3;0;0;0;0;0
D;BOLOGNA;MORLEO Archimede;5;1;6;6;0;0;0;0;0;0;0;0
D;GENOA;MUNOZ Ezequiel Matias;3;29;5.74;5.63;0;0;3;0;1;0;0;0
D;INTER;MURILLO Jeison;3;26;5.83;5.71;0;0;6;0;0;0;0;0
D;CAGLIARI;MURRU Nicola;2;26;5.63;5.62;0;1;3;0;0;0;0;0
D;INTER;NAGATOMO Yuto;2;15;5.47;5.4;0;0;2;0;0;0;0;0
D;BOLOGNA;OIKONOMOU Marios;3;17;5.5;5.5;0;0;1;0;0;0;0;0
D;FIORENTINA;OLIVERA Maxi;4;13;5.69;5.63;0;0;4;0;0;0;0;0
D;GENOA;ORBAN Lucas;2;9;5.44;5;0;0;4;1;1;0;0;0
D;MILAN;PALETTA Gabriel Alejandro;4;29;5.93;5.92;2;1;3;4;1;0;0;0
D;EMPOLI;PASQUAL Manuel;3;32;5.8;5.94;2;2;7;0;0;0;0;0
D;LAZIO;PATRIC;3;16;5.91;5.84;0;1;4;0;0;0;0;0
D;SAMPDORIA;PAVLOVIC Daniel;1;9;5.28;5.17;0;0;2;0;0;0;0;0
D;SASSUOLO;PELUSO Federico;2;33;5.74;5.68;1;1;12;0;0;0;0;0
D;SAMPDORIA;PEREIRA Pedro;1;10;5.5;5.25;0;0;5;0;0;0;0;0
D;ROMA;PERES Bruno;3;28;5.64;5.84;2;1;3;0;0;0;0;0
D;PALERMO;PEZZELLA Giuseppe;2;10;5.55;5.5;0;0;1;0;0;0;0;0
D;CAGLIARI;PISACANE Fabio;3;29;5.88;5.9;1;1;7;0;0;0;0;0
