R;S;G;IAM;P;MV;FMV;G;As;Am;Es;Au;Gs;RS;RP
C;PALERMO;EMBALO Carlos;1;10;5.5;5.6;0;1;0;0;0;0;0;0
C;UDINESE;EVANGELISTA Lucas;5;3;6.17;6;0;0;1;0;0;0;0;0
C;CAGLIARI;FARAGO’ Paolo;3;6;5.67;5.57;0;0;1;0;0;0;0;0
C;LAZIO;FELIPE ANDERSON Pereira Gomes;4;36;6.17;6.65;4;8;5;0;0;0;0;0
C;SAMPDORIA;FERNANDES Bruno Miguel;3;32;5.83;6.33;5;2;2;0;0;0;0;0
C;MILAN;FERNANDEZ Matias;3;11;5.77;6.21;1;2;1;0;0;0;0;0
C;UDINESE;FOFANA Seko;4;22;6.16;6.82;5;1;3;0;0;0;0;0
C;ATALANTA;FREULER Remo;5;31;6.29;6.79;5;3;5;0;0;0;0;0
C;INTER;GAGLIARDINI Roberto;4;28;6.21;6.43;2;3;7;0;0;0;0;0
C;CHIEVO;GAKPE’ Serge;3;12;5.88;6.04;1;0;2;0;0;0;0;0
C;PALERMO;GAZZI Alessandro;3;24;5.88;5.67;0;0;6;2;0;0;0;0
C;NAPOLI;GIACCHERINI Emanuele;4;9;5.89;6.22;1;0;0;0;0;0;0;0
C;CROTONE;GNAHORE’ Eddy;5;1;5.5;5.75;0;0;0;0;0;0;0;0
C;UDINESE;GNOUKOURI Assane Demoya;4;4;6;6;0;0;0;0;0;0;0;0
C;ATALANTA;GOMEZ Alejandro;5;37;6.7;8.19;16;10;6;0;0;0;0;0
C;ATALANTA;GRASSI Alberto;4;15;6.07;6.2;1;0;2;0;0;0;0;0
C;ROMA;GRENIER Clement;5;5;6.2;6.3;0;1;1;0;0;0;0;0
C;TORINO;GUSTAFSON Samuel;3;5;5.7;5.6;0;0;1;0;0;0;0;0
C;UDINESE;HALLFREDSSON Emil;3;27;5.96;5.89;0;3;10;0;0;0;0;0
C;NAPOLI;HAMSIK Marek;4;38;6.39;7.43;12;4;1;0;0;0;0;0
C;PALERMO;HENRIQUE Bruno;3;32;5.73;5.78;1;2;7;0;0;0;0;0
C;JUVENTUS;HERNANES;4;9;5.72;5.9;1;0;3;0;0;0;0;0
C;CHIEVO;HETEMAJ Perparim;3;23;5.91;5.78;0;0;6;0;0;0;0;0
C;GENOA;HILJEMARK Oscar;3;26;5.71;5.92;2;0;1;0;0;0;0;0
C;MILAN;HONDA Keisuke;5;4;6;6.6;1;0;0;0;0;0;0;0
C;TORINO;IAGO Falque;4;34;6.09;7.15;12;4;2;0;0;0;1;0
C;CAGLIARI;IONITA Artur;3;17;5.97;6.41;3;1;5;0;0;0;0;0
C;CHIEVO;IZCO Mariano;3;21;5.64;5.67;0;1;1;0;0;0;0;0
C;PALERMO;JAJALO Mato;2;26;5.5;5.56;1;1;5;0;0;0;0;0
C;UDINESE;JANKTO Jakub;4;25;6.18;6.78;5;3;6;0;0;0;0;0
C;INTER;JOAO MARIO;4;27;5.96;6.39;3;5;5;0;0;0;0;0
C;CAGLIARI;JOAO PEDRO;3;21;6.02;6.79;7;1;4;1;0;0;1;0
C;NAPOLI;JORGINHO Jorge Luiz Frello;4;27;6.13;6.19;0;3;3;0;0;0;0;0
C;PESCARA;KASTANOS Grigoris;1;6;5.25;5.17;0;0;1;0;0;0;0;0
C;ATALANTA;KESSIE’ Franck;4;30;6.32;6.8;6;1;5;2;0;0;0;0
C;JUVENTUS;KHEDIRA Sami;4;30;6.17;6.71;5;3;2;0;0;0;0;0
C;INTER;KONDOGBIA Geoffrey;3;24;5.71;5.77;1;2;5;1;0;0;0;0
C;UDINESE;KONE Panagiotis;3;4;5.62;5.5;0;0;1;0;0;0;0;0
C;BOLOGNA;KREJCI Ladislav;3;34;5.81;6.07;1;7;2;0;0;0;0;0
C;EMPOLI;KRUNIC Rade;3;32;5.78;5.81;2;0;10;0;0;0;0;0
C;MILAN;KUCKA Juray;3;27;5.78;5.89;3;1;7;2;1;0;0;0
C;UDINESE;KUMS Sven;4;26;5.83;5.81;0;1;3;0;0;0;0;0
C;ATALANTA;KURTIC Jasmin;3;37;6;6.45;6;2;7;0;0;0;0;0
C;GENOA;LAXALT Diego Sebastian Suzrez;3;35;5.91;6.01;1;3;5;0;0;0;0;0
C;GENOA;LAZOVIC Darko;3;32;5.78;5.94;1;4;2;1;0;0;0;0
C;JUVENTUS;LEMINA Mario;5;16;5.97;6.12;1;0;1;0;0;0;0;0
C;SAMPDORIA;LINETTY Karol;4;34;6.03;6.13;1;3;5;0;0;0;0;0
C;TORINO;LJAJIC Adem;4;33;6.11;7;10;5;5;0;0;0;1;0
C;MILAN;LOCATELLI Manuel;3;24;5.85;5.96;2;0;7;0;0;0;0;0
C;TORINO;LUKIC Sasa;3;12;5.79;5.54;0;0;6;0;0;0;0;0
C;LAZIO;LULIC Senad;4;31;6.16;6.56;3;8;7;1;0;0;0;0
C;SASSUOLO;MAGNANELLI Francesco;4;14;6.18;6.32;1;0;2;0;0;0;0;0
C;EMPOLI;MAIELLO Raffaele;1;1;5;5;0;0;0;0;0;0;0;0
C;JUVENTUS;MARCHISIO Claudio;5;17;6.18;6.33;1;1;2;0;0;0;0;0
C;EMPOLI;MAURI Jose’;4;14;6;5.86;0;0;4;0;0;0;0;0
C;SASSUOLO;MAZZITELLI Luca;4;16;6.12;6.19;1;2;8;0;0;0;0;0
C;INTER;MEDEL Gary;4;26;6.13;6.04;0;0;5;0;0;0;0;0
C;INTER;MELO Felipe;3;4;5.88;5.5;0;0;1;1;0;0;0;0
C;PESCARA;MEMUSHAJ Ledian;3;35;5.76;5.69;1;2;3;0;0;0;2;0
C;NAPOLI;MERTENS Dries;5;34;6.79;9.32;28;8;6;0;0;0;1;0
C;LAZIO;MILINKOVIC-SAVIC Sergej;3;34;6.07;6.49;4;6;8;0;0;0;0;0
C;SASSUOLO;MISSIROLI Simone;3;12;5.88;5.75;0;0;3;0;0;0;0;0
C;PESCARA;MITRITA Alexandru;3;13;5.69;6;1;2;1;0;0;0;0;0
C;MILAN;MONTOLIVO Riccardo;4;9;5.89;5.8;0;0;2;0;0;0;0;0
C;GENOA;MOROSINI Leonardo;3;2;5.75;5.75;0;0;0;0;0;0;0;0
C;ATALANTA;MOUNIER Anthony;2;8;5.25;5.33;0;0;0;0;0;0;0;0
C;CAGLIARI;MUNARI Gianni;2;6;5.75;5.42;0;0;4;0;0;0;0;0
C;PESCARA;MUNTARI Sulley;1;9;5.28;5.33;1;0;5;0;0;0;0;0
C;LAZIO;MURGIA Alessandro;4;10;6;6.55;2;0;1;0;0;0;0;0
C;PESCARA;MURIC Robert;5;4;6.12;6.7;1;0;0;0;0;0;0;0
C;BOLOGNA;NAGY Adam;4;23;5.91;5.85;0;0;3;0;0;0;0;0
C;ROMA;NAINGGOLAN Radja;5;36;6.43;7.38;11;2;2;0;0;0;0;0
C;GENOA;NINKOVIC Nikola;4;14;5.89;6.23;2;0;2;0;0;0;0;0
C;GENOA;NTCHAM Olivier;3;17;5.68;6.17;3;1;3;0;0;0;0;0
C;TORINO;OBI Joel;3;20;5.85;5.82;0;1;3;0;0;0;0;0
C;BOLOGNA;OKONKWO Orji;4;5;5.9;6;0;1;1;0;0;0;0;0
C;CAGLIARI;PADOIN Simone;2;27;5.61;5.65;1;1;6;0;0;0;0;0
C;SAMPDORIA;PALOMBO Angelo;4;4;5.88;5.75;0;0;1;0;0;0;0;0
C;ROMA;PAREDES Leandro;5;18;6.36;6.81;3;1;4;0;0;0;0;0
C;LAZIO;PAROLO Marco;4;34;6.13;6.41;5;0;11;0;0;0;0;0
C;MILAN;PASALIC Mario;3;22;5.77;6.2;4;0;5;0;0;0;0;0
C;SASSUOLO;PELLEGRINI Lorenzo;4;28;5.96;6.66;6;6;7;1;0;0;0;0
C;PESCARA;PEPE Simone;3;10;5.75;5.77;0;0;0;0;0;0;0;0
C;INTER;PERISIC Ivan;4;36;6.14;7.19;11;7;2;1;0;0;0;0
C;ROMA;PEROTTI Diego;4;27;6.2;7.28;8;6;2;0;0;0;0;0
C;JUVENTUS;PJANIC Miralem;4;29;6.26;6.93;5;8;5;0;0;0;0;0
C;MILAN;POLI Andrea;4;7;5.79;5.75;0;0;1;0;0;0;0;0
C;SASSUOLO;POLITANO Matteo;4;32;6.17;6.72;5;5;5;0;0;0;0;0
C;SAMPDORIA;PRAET Dennis;3;30;5.82;5.88;1;1;4;0;0;0;0;0
C;BOLOGNA;PULGAR Erick;2;23;5.59;5.54;1;0;5;2;0;0;0;0
C;PALERMO;QUAISON Robin;3;15;5.9;6.53;4;0;5;0;0;0;0;0
C;CHIEVO;RADOVANOVIC Ivan;3;33;5.98;5.83;0;0;10;0;0;0;0;0
C;GENOA;RIGONI Luca;3;30;5.95;6.06;3;1;13;0;0;0;0;0
C;CHIEVO;RIGONI Nicola;4;10;5.85;6.05;1;0;2;0;0;0;0;0
C;JUVENTUS;RINCON Tomas;5;20;6.22;6.17;0;1;4;0;0;0;0;0
C;BOLOGNA;RIZZO Luca;3;10;5.6;5.64;0;0;0;0;0;0;0;0
C;NAPOLI;ROG Marko;4;12;6.17;6;0;0;4;0;0;0;0;0
C;CROTONE;ROHDEN Marcus;3;33;5.77;5.93;1;4;4;0;0;0;0;0
C;SAMPDORIA;SALA Jacopo;2;20;5.48;5.35;0;0;5;0;0;0;0;0
C;CROTONE;SALZANO Aniello;5;6;5.75;5.79;0;0;0;0;0;0;0;0
C;FIORENTINA;SANCHEZ Carlos;4;28;5.8;5.82;1;0;6;0;0;0;0;0
C;FIORENTINA;SAPONARA Riccardo;3;25;5.94;6.37;4;2;5;0;0;0;0;0
C;SASSUOLO;SENSI Stefano;4;16;6.19;6.47;2;0;3;0;0;0;0;0
C;MILAN;SOSA Jose’;3;17;5.85;5.67;0;1;5;2;0;0;0;0
C;ATALANTA;SPINAZZOLA Leonardo;5;30;6.28;6.32;0;4;2;0;1;0;0;0
C;CROTONE;STOIAN Adrian;3;22;5.86;6.23;3;1;3;0;0;0;0;0
C;ROMA;STROOTMAN Kevin;5;33;6.23;6.68;4;6;6;0;0;0;0;0
C;JUVENTUS;STURARO Stefano;4;16;5.91;5.76;0;0;5;0;0;0;0;0
C;MILAN;SUSO;4;33;6.23;6.79;7;4;5;0;0;0;1;0
C;GENOA;TAARABT Adel;3;5;5.9;6.1;0;1;0;0;0;0;0;0
C;CAGLIARI;TACHTSIDIS Panagiotis;3;26;5.67;5.73;0;4;5;0;0;0;0;0
C;BOLOGNA;TAIDER Saphir;4;24;5.98;6.32;3;0;1;0;0;0;0;0
C;EMPOLI;TELLO Andres;2;15;5.53;5.37;0;0;6;0;0;0;0;0
C;FIORENTINA;TELLO Cristian;4;31;5.81;6.14;2;5;1;0;0;0;0;0
C;CROTONE;TONEV Aleksandar;4;11;5.77;5.96;1;0;2;0;0;0;0;0
C;SAMPDORIA;TORREIRA Lucas;5;35;6.21;6.11;0;0;7;0;0;0;0;0
C;TORINO;VALDIFIORI Mirko;3;23;5.91;5.8;0;0;5;0;0;0;0;0
C;FIORENTINA;VECINO Matias;4;27;6.02;6.33;3;3;6;0;0;0;0;0
C;GENOA;VELOSO Miguel;3;22;6;5.91;0;2;7;1;0;0;0;0
C;BOLOGNA;VERDI Simone;4;26;6.21;7.04;7;3;3;0;0;0;0;0
C;PESCARA;VERRE Valerio;3;27;5.48;5.46;0;1;2;1;0;0;0;0
C;TORINO;VIVES Giuseppe;2;3;5.67;5.33;0;0;0;1;0;0;0;0
C;BOLOGNA;VIVIANI Federico;3;15;5.8;6.16;2;2;3;1;0;0;0;0
C;EMPOLI;ZAJC Miha;5;3;6.33;7.67;1;1;0;0;0;0;0;0
C;NAPOLI;ZIELINSKI Piotor;5;34;6.34;6.9;5;6;4;0;0;0;0;0
A;CROTONE;ACOSTY Boadu Maxwell;1;8;6;5.88;0;0;2;0;0;0;0;0
A;LAZIO;ALBERTO Luis;2;8;5.94;6.56;1;2;0;0;0;0;0;0
A;FIORENTINA;BABACAR Khouma;3;18;5.97;7.52;10;1;0;0;0;0;0;0
A;MILAN;BACCA Carlos;2;29;5.76;6.85;13;1;3;0;0;0;2;0
A;PESCARA;BAHEBECK Jean-Christophe;3;12;5.83;6.85;4;1;0;0;0;0;0;0
A;PALERMO;BALOGH Norbert;1;10;5.4;5.25;0;0;1;1;0;0;0;0
A;TORINO;BELOTTI Andrea;3;35;6.66;8.64;26;3;5;0;0;0;3;0
A;PALERMO;BENTIVEGNA Accursio;1;1;5.5;5.75;0;0;0;0;0;0;0;0
A;SASSUOLO;BERARDI Domenico;3;21;6.21;6.88;5;5;6;0;0;0;1;0
A;CAGLIARI;BORRIELLO Marco;3;34;6.25;7.56;16;1;4;0;0;0;1;0
A;TORINO;BOYE’ Lucas;1;26;5.87;5.96;1;2;5;0;0;0;0;0
A;SAMPDORIA;BUDIMIR Ante;1;8;5.62;5.62;0;0;0;0;0;0;0;0
A;NAPOLI;CALLEJON Jose’ Maria Bueno;3;37;6.28;7.66;14;11;2;1;0;0;0;0
A;PESCARA;CAPRARI Gianluca;2;34;5.84;6.3;8;2;8;0;0;0;2;0
A;PESCARA;CERRI Alberto;1;11;5.59;6.08;2;0;1;0;0;0;0;0
A;FIORENTINA;CHIESA Federico;2;22;6.18;6.52;3;2;3;1;0;0;0;0
A;SASSUOLO;DEFREL Gregoire;2;28;6.12;7.36;12;1;1;0;0;0;0;0
A;BOLOGNA;DESTRO Mattia;2;29;5.62;6.57;11;0;4;0;0;0;1;0
A;MILAN;DEULOFEU Gerard;2;16;6.31;7;4;1;4;0;0;0;0;0
A;LAZIO;DJORDJEVIC Filip;1;12;5.62;5.62;0;0;0;0;0;0;0;0
A;SAMPDORIA;DJURICIC Filip;1;13;5.81;5.77;0;1;4;0;0;0;0;0
A;JUVENTUS;DYBALA Paulo;3;28;6.59;7.91;11;7;2;0;0;0;0;0
A;ROMA;DZEKO Edin;4;37;6.59;8.95;29;8;4;0;0;0;2;0
A;INTER;EDER Citadin martins;2;30;6.05;6.9;8;3;3;0;0;0;0;0
A;ROMA;EL SHAARAWY;2;28;6.2;7.16;8;3;0;0;0;0;0;0
A;UDINESE;EWANDRO;1;3;5.67;5.67;0;0;0;0;0;0;0;0
A;CROTONE;FALCINELLI Diego;2;35;6.2;7.24;13;2;7;0;0;0;0;0
A;CAGLIARI;FARIAS Diego;2;20;6.08;7.12;7;2;4;0;0;0;0;0
A;BOLOGNA;FLOCCARI Sergio;1;4;5.12;5.3;0;0;0;0;0;0;0;0
A;CHIEVO;FLORO FLORES Antonio;1;11;5.64;5.64;0;0;0;0;0;0;0;0
A;NAPOLI;GABBIADINI Manolo;2;12;5.46;6.12;3;0;0;1;0;0;0;0
A;INTER;GABRIEL Barbosa;1;7;5.93;6.21;1;0;3;0;0;0;0;0
A;ROMA;GERSON Santos da Silva;1;2;5;4.75;0;0;1;0;0;0;0;0
A;CAGLIARI;GIANNETTI Niccolo’;1;7;5.57;5.56;0;0;0;0;0;0;0;0
A;PESCARA;GILARDINO Alberto;1;12;5.54;5.5;0;0;2;0;0;0;0;0
A;FIORENTINA;HAGI Ianis;1;2;6.25;6;0;0;1;0;0;0;0;0
A;CAGLIARI;HAN Kwang-song;2;3;6.17;7.17;1;0;0;0;0;0;0;0
A;JUVENTUS;HIGUAIN Gonzalo Gerardo;3;37;6.39;8.26;23;3;1;0;0;0;0;0
A;CAGLIARI;IBARBO Victor;1;3;5.67;5.67;0;0;0;0;0;0;0;0
A;INTER;ICARDI Mauro Emanuel;3;34;6.18;8.31;24;4;1;0;0;0;1;0
A;SASSUOLO;IEMMELLO Pietro;2;12;5.83;7.04;5;0;1;0;0;0;0;0
A;FIORENTINA;ILICIC Josip;2;26;5.75;6.12;5;2;2;0;0;0;2;0
A;LAZIO;IMMOBILE Ciro;3;36;6.44;8.38;23;3;5;0;0;0;0;0
A;CHIEVO;INGLESE Roberto;2;31;5.89;6.89;10;4;0;0;0;0;1;0
A;NAPOLI;INSIGNE Lorenzo;4;37;6.7;8.32;18;7;2;0;0;0;0;0
A;TORINO;ITURBE Juan;1;16;5.53;5.88;1;3;1;0;0;0;0;0
A;INTER;JOVETIC Stevan;1;3;5.67;5.5;0;0;1;0;0;0;0;0
A;FIORENTINA;KALINIC Nikola;3;31;6.16;7.35;15;1;5;1;0;0;1;0
A;JUVENTUS;KEAN Moise;5;1;7;8;1;0;0;0;0;0;0;0
A;LAZIO;KEITA Balde Diao;3;31;6.47;8.02;16;3;4;1;0;0;0;0
A;LAZIO;KISHNA Ricardo;1;4;5.5;5.5;0;0;0;0;0;0;0;0
A;CROTONE;KOTNIK Andrej;1;1;5;5;0;0;0;0;0;0;0;0
A;MILAN;LAPADULA Gianluca;2;23;6.07;7.08;8;2;3;0;0;0;0;0
A;PALERMO;LO FASO Simone;1;6;5.83;5.83;0;0;0;0;0;0;0;0
A;LAZIO;LOMBARDI Cristiano;1;12;5.75;5.71;1;0;4;0;1;0;0;0
A;MILAN;LUIZ ADRIANO;1;4;5.38;5.5;0;0;0;0;0;0;0;0
A;EMPOLI;MACCARONE Massimo;1;28;5.66;6.18;5;2;3;1;0;0;0;0
A;PESCARA;MANAJ Rey;1;11;5.32;5.79;2;0;2;0;0;0;0;0
A;JUVENTUS;MANDZUKIC Mario;2;32;6.22;6.74;6;2;5;0;0;0;0;0
A;EMPOLI;MARILUNGO Guido;1;18;5.56;5.67;0;3;2;0;0;0;0;0
A;TORINO;MARTINEZ Josef Alexander;1;9;5.72;5.89;1;0;3;0;0;0;0;0
A;UDINESE;MATOS;1;12;5.62;5.62;0;0;0;0;0;0;0;0
A;SASSUOLO;MATRI Alessandro;2;27;5.74;6.61;8;0;1;0;0;0;0;0
A;TORINO;MAXI LOPEZ Gaston;1;12;5.79;6.25;2;0;2;0;0;0;0;0
A;EMPOLI;MCHEDLIDZE Levan;2;14;6.07;7.04;6;0;3;0;0;0;1;0
A;CHIEVO;MEGGIORINI Riccardo;1;27;5.89;6.11;3;0;6;0;0;0;0;0
A;CAGLIARI;MELCHIORRI Federico;2;10;6;6.85;3;0;1;0;0;0;0;0
A;NAPOLI;MILIK Arkadiusz;2;10;6.3;7.75;5;0;1;0;0;0;0;0
A;SAMPDORIA;MURIEL Luis Fernando;2;31;6.15;7.24;11;4;4;1;0;0;0;0
A;CROTONE;NALINI Andrea;2;14;6.25;6.7;2;2;2;0;0;0;0;0
A;PALERMO;NESTOROVSKI Ilija;2;37;5.93;6.81;11;2;5;0;0;0;0;0
A;MILAN;NIANG M’baye;2;14;5.79;6.07;3;2;0;1;0;0;2;0
A;MILAN;OCAMPOS Lucas;2;22;6;6.29;3;1;5;0;0;0;0;0
A;INTER;PALACIO Rodrigo;1;11;5.64;5.79;0;2;1;0;0;0;0;0
A;GENOA;PALLADINO Raffaele;1;31;5.79;5.86;2;2;6;0;0;0;1;0
A;ATALANTA;PALOSCHI Alberto;1;8;5.5;5.12;0;0;0;0;0;0;1;0
A;GENOA;PANDEV Goran;1;16;5.66;6.12;3;0;1;1;0;0;0;0
A;CHIEVO;PARIGINI Vittorio;1;1;5;5;0;0;0;0;0;0;0;0
A;NAPOLI;PAVOLETTI Leonardo;1;12;5.67;6.31;3;0;2;0;0;0;0;0
A;CHIEVO;PELLISSIER Sergio;2;29;5.95;6.93;9;2;1;0;0;0;0;0
A;UDINESE;PENARANDA Adalberto;1;5;5.7;5.7;0;0;0;0;0;0;0;0
A;UDINESE;PERICA Stipe;2;26;5.98;6.65;6;1;4;0;0;0;0;0
A;ATALANTA;PESIC Aleksandar;1;3;5.67;5.67;0;0;0;0;0;0;0;0
A;ATALANTA;PETAGNA Andrea;2;33;6.32;6.89;5;5;2;0;0;0;0;0
A;BOLOGNA;PETKOVIC Bruno;1;9;5.67;5.6;0;0;1;0;0;0;0;0
A;PESCARA;PETTINARI Stefano;1;5;5.5;5.5;0;0;1;0;0;0;0;0
A;GENOA;PINILLA Mauricio;1;12;5.62;5.71;1;1;4;1;0;0;0;0
A;JUVENTUS;PJACA Marko;1;7;5.64;5.62;0;0;1;0;0;0;0;0
A;EMPOLI;PUCCIARELLI Manuel;1;32;5.47;5.66;3;1;2;0;0;0;1;0
A;SAMPDORIA;QUAGLIARELLA Fabio;2;36;6.12;7.07;12;2;2;0;0;0;1;0
A;SASSUOLO;RAGUSA Antonino;2;22;5.82;6.34;4;2;5;0;0;0;0;0
A;SASSUOLO;RICCI Federico;1;17;5.71;5.94;2;0;4;0;0;0;0;0
A;LAZIO;ROSSI Alessandro;1;2;5.5;5.5;0;0;0;0;0;0;0;0
A;BOLOGNA;SADIQ Umar;1;7;5.71;5.75;0;1;2;0;0;0;0;0
A;ROMA;SALAH Mohamed;3;31;6.27;8.02;15;10;2;0;0;0;0;0
A;PALERMO;SALLAI Roland;1;18;5.31;5.33;1;0;3;1;0;0;0;0
A;CAGLIARI;SAU Marco;2;34;5.88;6.49;7;2;5;0;0;0;0;0
A;SAMPDORIA;SCHICK Patrik;3;29;6.09;7.23;11;3;2;0;0;0;0;0
A;PALERMO;SILVA Stefan;1;1;5.5;5.5;0;0;0;0;0;0;0;0
A;GENOA;SIMEONE Giovanni;2;33;5.82;6.78;12;1;3;0;0;0;1;0
A;CROTONE;SIMY;1;15;5.57;6.16;3;0;0;0;0;0;0;0
A;UDINESE;THEREAU Cyril;2;33;5.77;6.73;12;0;3;0;0;0;1;0
A;EMPOLI;THIAM Mame;2;14;5.79;6.04;1;1;1;0;0;0;0;0
A;ROMA;TOTTI Francesco;3;10;6.65;7.45;2;3;2;0;0;0;0;0
A;PALERMO;TRAJKOVSKI Aleksandar;1;8;5.44;5.72;1;0;1;0;0;0;0;0
A;CROTONE;TROTTA Marcello;2;26;5.79;6.24;3;4;2;0;0;0;0;0
A;UDINESE;ZAPATA Duvan;2;38;5.99;6.79;10;2;3;0;0;0;0;0
A;FIORENTINA;ZARATE Mauro;4;4;6.25;7.25;2;1;1;0;0;0;0;0
